P0,D0,500,500
D1,P0,1000,1000
D0,D1,1000,1000
D1,D2,1000,1000
D2,D1,1000,1000
D2,R1,1000,1000
R1,P1,500,500
R1,P2,1000,1000
R1,P3,1000,1000
R1,P4,1500,1500
R1,P5,1500,1500
P1,R1,500,500
P2,R1,1000,1000
P3,R1,1000,1000
P4,R1,1500,1500
P5,R1,1500,1500
P1,P2,1000,1000
P2,P3,1000,1000
P3,P4,1000,1000
P4,P5,1000,1000
P5,P6,1000,1000
P1,S1,1000,1000
S1,SB1,500,500
SB1,P1,1000,1000
P2,S2,1000,1000
S2,SB2,500,500
SB2,P2,1000,1000
P3,S3,1000,1000
S3,SB3,500,500
SB3,P3,1000,1000
P4,S4,1000,1000
S4,SB4,500,500
SB4,P4,1000,1000
P5,S5,1000,1000
S5,SB5,500,500
SB5,P5,1000,1000
P6,D3,1000,1000
D3,S6,1000,1000
S6,D3,1000,1000
D3,D4,1000,1000
D4,D3,1000,1000
D4,D4I,1000,1000
D4I,D4,1000,1000
D4I,D3I,1000,1000
D4I,P0,1000,1000
D3I,D4I,1000,1000
D3I,S6I,1000,1000
S6I,D3I,1000,1000
D3I,P7,1000,1000
P7,P8,1000,1000
P7,D4I,1000,1000
P8,PL1,1000,1000
P8,P7,1000,1000
PL1,L1,1000,1000
L1,PL1,1000,1000
PL1,PL2,1000,1000
PL2,L2,1000,1000
L2,PL2,1000,1000
PL2,PL3,1000,1000
PL3,L3,1000,1000
L3,PL3,1000,1000
PL1,P8,1000,1000
PL2,P8,1000,1000
PL3,P8,1000,1000
